 	Point #	Z Align	SigInt	Tilt X	Tilt Y	Hardware OK	MSE	Thickness # 1 (nm)	A	B	n of Cauchy @ 632.8 nm	Fit OK
Average	N/A	0.6098	12.0669	-0.1189	0.0325	1.0000	4.3324	106.070	1.4957	0.004581	1.507163	1.0
Min	N/A	0.6098	10.6540	-0.1189	0.0325	1.0000	2.5767	101.609	1.4741	0.004317	1.490146	1.0
Max	N/A	0.6098	12.7655	-0.1189	0.0325	1.0000	21.5801	112.101	1.4974	0.006433	1.508216	1.0
Std. Dev.	N/A	0.0000	0.4908	0.0000	0.0000	0.0000	2.8665	2.210	0.0038	0.000413	0.002865	0.0
% Range	N/A	0.00000	17.49838	-0.00000	0.00000	0.00000	438.63553	9.89189	1.55779	46.20042	1.19894	0.00000
% Uniformity	N/A	0.00000	4.06753	0.00000	0.00000	0.00000	66.16518	2.08393	0.25131	9.01354	0.19008	0.00000
(-0.000,-0.000)	1	0.610	12.616	-0.119	0.032	1.000	3.693	105.62	1.497	0.00443	1.50784	1.
(0.354,-0.354)	2	0.610	12.620	-0.119	0.032	1.000	3.701	104.42	1.497	0.00437	1.50808	1.
(-0.354,-0.354)	3	0.610	12.687	-0.119	0.032	1.000	3.845	105.25	1.497	0.00439	1.50794	1.
(-0.707,-0.707)	4	0.610	12.621	-0.119	0.032	1.000	3.723	104.89	1.497	0.00437	1.50798	1.
(-0.000,-1.000)	5	0.610	12.296	-0.119	0.032	1.000	3.628	104.16	1.497	0.00438	1.50811	1.
(0.707,-0.707)	6	0.610	12.400	-0.119	0.032	1.000	3.631	103.91	1.497	0.00441	1.50821	1.
(1.061,-1.061)	7	0.610	12.392	-0.119	0.032	1.000	3.550	103.74	1.497	0.00442	1.50822	1.
(0.388,-1.449)	8	0.610	12.077	-0.119	0.032	1.000	3.590	104.10	1.497	0.00438	1.50802	1.
(-0.388,-1.449)	9	0.610	12.459	-0.119	0.032	1.000	3.714	104.41	1.497	0.00437	1.50797	1.
(-1.061,-1.061)	10	0.610	12.407	-0.119	0.032	1.000	3.798	104.52	1.497	0.00436	1.50808	1.
(-1.414,-1.414)	11	0.610	12.386	-0.119	0.032	1.000	3.737	104.95	1.497	0.00432	1.50801	1.
(-0.765,-1.848)	12	0.610	11.541	-0.119	0.032	1.000	3.645	104.92	1.497	0.00434	1.50796	1.
(-0.000,-2.000)	13	0.610	12.539	-0.119	0.032	1.000	3.616	104.41	1.497	0.00435	1.50806	1.
(0.765,-1.848)	14	0.610	12.256	-0.119	0.032	1.000	3.596	104.15	1.497	0.00439	1.50809	1.
(1.414,-1.414)	15	0.610	12.608	-0.119	0.032	1.000	3.589	103.83	1.497	0.00443	1.50817	1.
(1.768,-1.768)	16	0.610	12.647	-0.119	0.032	1.000	3.600	103.86	1.497	0.00440	1.50805	1.
(1.135,-2.228)	17	0.610	12.475	-0.119	0.032	1.000	3.650	104.56	1.497	0.00440	1.50790	1.
(0.391,-2.469)	18	0.610	12.608	-0.119	0.032	1.000	3.771	105.28	1.497	0.00438	1.50778	1.
(-0.391,-2.469)	19	0.610	11.881	-0.119	0.032	1.000	3.802	105.66	1.497	0.00438	1.50808	1.
(-1.135,-2.228)	20	0.610	11.554	-0.119	0.032	1.000	3.707	105.59	1.497	0.00442	1.50773	1.
(-1.768,-1.768)	21	0.610	12.162	-0.119	0.032	1.000	3.654	104.90	1.497	0.00432	1.50816	1.
(-2.121,-2.121)	22	0.610	11.793	-0.119	0.032	1.000	3.831	105.53	1.497	0.00437	1.50809	1.
